burst, startT [s], endT [s], relative startT [s], relative endT [s], cycle period [s], inst burstfreq [Hz], duration [s], dutycycle, interburst interval [s], #spikes , spikefreq in burst [Hz],Time,0 Channel 1
43,109.660432,110.551564,109.660432,110.551564,2.772736,0.360655,0.891132,0.321391,1.881604,55,60.597083,109.66043,10.83374
44,112.433168,113.061752,112.433168,113.061752,2.297664,0.435225,0.628584,0.273575,1.66908,34,52.49895,112.43317,10.847075
45,114.730832,115.80458,114.730832,115.80458,2.933728,0.340863,1.073748,0.366001,1.85998,65,59.604302,114.73083,10.800007
46,117.66456,118.195828,117.66456,118.195828,2.169704,0.460892,0.531268,0.244857,1.638436,31,56.468675,117.66456,10.714722
47,119.834264,120.978768,119.834264,120.978768,3.033072,0.329699,1.144504,0.377342,1.888568,75,64.65683,119.83426,10.759359
48,122.867336,123.319652,122.867336,123.319652,2.125856,0.470399,0.452316,0.212769,1.67354,27,57.481937,122.86734,10.740662
49,124.993192,126.038052,124.993192,126.038052,2.958364,0.338025,1.04486,0.353188,1.913504,71,66.994621,124.99319,10.765076
50,127.951556,128.470504,127.951556,128.470504,2.113328,0.473187,0.518948,0.24556,1.59438,31,57.80926,127.95156,10.864739
51,130.064884,131.258668,130.064884,131.258668,3.098292,0.322758,1.193784,0.385304,1.904508,75,61.987763,130.06488,10.863917
52,133.163176,133.600364,133.163176,133.600364,2.099824,0.47623,0.437188,0.208202,1.662636,27,59.470983,133.16318,10.872626
53,135.263,136.322132,135.263,136.322132,2.92934,0.341374,1.059132,0.36156,1.870208,67,62.315179,135.263,10.86731
54,138.19234,138.657712,138.19234,138.657712,2.260636,0.442353,0.465372,0.205859,1.795264,28,58.018102,138.19234,10.859299
55,140.452976,141.69702,140.452976,141.69702,3.164096,0.316046,1.244044,0.393175,1.920052,79,62.698747,140.45298,10.871794
56,143.617072,144.084084,143.617072,144.084084,2.05856,0.485776,0.467012,0.226863,1.591548,30,62.096905,143.61707,10.832731
